Rank,Country,Operator/Revenue,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,$ per sat,$ per sat,$ per sat,,2000,Sats in Orbit,2001,Sats in Orbit,2002,Sats in Orbit,2003,Sats in Orbit,2004,Sats in Orbit,2005,Sats in Orbit,2006,Sats in Orbit,2007,Sats in Orbit,2008,Sats in Orbit,2009,Sats in Orbit,Share,2010,Sats in Orbit,2011,Sats in Orbit,,,,Rank,Country,Operator/Revenue
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2009,2010,2010,2011,2011,2012,in orb 12,,,,
1,US,Intelsat,$57.9,$50.0,$38.2,$42.31,$35.86,$41.79,$41.18,$40.74,$46.37,$48.08,$46.54,$44.83,$45.00,$48.00,$44.95,,Intelsat,"$1,100.0",19,"$1,100.0",22,$992.0,26,"$1,100.0",26,1040.0,29,"$1,170.0",28,"$2,100.0",51,"$2,200.0",54,"$2,364.9",51,"$2,500.0",52,20.0%,"$2,513.0",54,"$2,600.0",58,"$2,610",58,,2,US,Intelsat
2,US,PanAmSat,$50.0,$41.4,$35.3,$39.57,$35.96,$35.88,,,,,,,,,,,PanAmSat,"$1,000.0",20,$870.1,21,$812.3,23,$831.0,21,827.1,23,$861.0,24,,,,,,,,,,,,,,,,,3,US,PanAmSat
,Luxembourg,SES Global,$29.0,$49.7,$45.9,$50.67,$42.16,$49.33,$52.78,$64.05,$56.10,$55.45,$51.28,$45.00,$48.20,$46.55,$43.96,,SES Global,"$1,187.9",41,"$1,440.8",29,"$1,330.02",29,"$1,520.00",30,1560.0,37,"$1,480.0",30,"$1,900.0",36,"$2,370.0",37,"$2,300.0",41,"$2,440.0",44,16.9%,"$2,307.4",45,"$2,250.0",50,"$2,410",50,,,Luxembourg,SES Global
3,Luxembourg,SES Astra ,$31.7,$50.4,,,,,,,,,,,,,,,SES Astra ,$665.9,21,$655.5,13,$637.0,,,,,,,,,,,,,,,,,,,,,,,,4,Luxembourg,SES Astra 
4,France,Eutelsat,$36.1,$33.0,$30.0,$39.75,$49.38,$40.23,$45.65,$51.67,$47.41,$54.23,$54.90,$55.36,$59.29,$48.38,$48.53,,Eutelsat,$650.5,18,$593.5,18,$690.8,23,$954.0,24,1037.0,21,$885.0,22,"$1,050.0",23,"$1,240.0",24,"$1,280.0",27,"$1,410.0",26,10.0%,"$1,482.4",27,"$1,550.0",28,"$1,660",28,,5,France,Eutelsat
5,US,SES Americom,$26.1,$31.7,,,,,,,,,,,,,,,SES Americom,$522.0,20,$506.7,16,$473.0,,$400.0,,,,,,,,,,,,,,,,,,,,,,6,US,SES Americom
6,US,Loral Skynet,$25.0,$65.3,$55.9,$38.10,$35.30,$38.00,$32.80,,,,,,,,,,Loral Skynet,$324.6,13,$457.4,7,$391.2,7,$152.4,4,141.2,4,$152.0,4,$164.0,5,,,,,,,,,,,,,,,7,US,Loral Skynet
7,Japan,JSAT,$41.6,$38.9,$47.6,$46.78,$47.86,$41.44,$40.75,$40.75,$33.25,$27.90,$27.95,$49.69,$43.96,$37.18,$27.89,,JSAT Skyperfect,$332.8,8,$311.0,8,$380.8,8,$421.0,9,430.7,9,$373.0,9,$326.0,8,$326.0,8,$399.0,12,$362.7,13,5.0%,$391.3,14,$745.3,15,$659,15,,8,Japan,JSAT
8,Netherlands,New Skies Sat,$39.7,$34.8,$33.4,$42.98,$42.14,$48.10,,,,,,,,,,,New Skies Sat,$198.3,5,$209.0,6,$200.5,6,$214.9,5,210.7,5,$240.5,5,,,,,,,,,,,,,,,,,9,Netherlands,New Skies Sat
9,Canada,Telesat Canada,$49.5,$40.3,$41.5,$44.37,$50.12,$67.88,$58.71,$57.06,$44.76,$62.50,$63.15,$60.92,$65.08,$83.86,$79.37,,Telesat Canada,$197.8,4,$201.6,5,$207.4,5,$266.2,6,300.7,6,$407.3,6,$411.0,7,$684.7,12,$581.9,13,$750.0,12,4.6%,$821.0,13,$792.0,13,$846,13,,10,Canada,Telesat Canada
10,Japan,SCC Japan,$51.2,$48.3,$50.0,$48.39,$43.52,$38.43,$37.80,$37.85,,,,,,,,,Space Comm Corp.,$204.6,4,$193.1,4,$199.8,4,$241.9,5,217.6,5,$153.7,4,$151.2,4,$151.4,4,,,,,,,,,,,,,11,Japan,SCC Japan
11,Saudi Arabia,Arabsat,$33.1,$51.7,$29.4,$35.00,$35.00,$37.50,$30.00,$37.50,$39.40,$47.75,$50.50,$52.40,$60.10,$56.83,$58.33,,Arabsat,$132.4,4,$155.0,3,$147.0,5,$140.0,4,140.0,4,$150.0,4,$150.0,5,$150.0,4,$157.6,4,$191.0,4,1.5%,$202.0,4,$262.0,5,$301,5,,12,Saudi Arabia,Arabsat
12,Brazil,Star One,$25.0,$26.1,$19.6,$26.06,$30.50,$41.13,$39.16,$29.63,$25.39,$27.57,$53.20,$45.35,$52.50,$47.14,$28.57,,Star One,$125.0,5,$130.5,5,$98.1,5,$130.3,5,152.5,5,$164.5,4,$195.8,5,$207.4,7,$177.8,7,$193.0,7,2.7%,$319.2,6,$272.1,6,$315,6,,13,Brazil,Star One
13,Mexico,Satmex,$68.2,$64.0,$28.3,$39.00,$35.00,$23.67,$26.33,$26.75,$31.10,$34.03,$35.27,$42.80,$46.47,$35.00,,,Satmex,$136.4,2,$128.0,2,$85.0,3,$78.0,2,70.0,2,$71.0,3,$79.0,3,$80.3,3,$93.3,3,$102.1,3,1.2%,$105.8,3,$128.4,3,$139,3,,14,Mexico,Satmex
14,Hong Kong,AsiaSat,$42.9,$41.4,$30.5,$28.85,$43.10,$37.83,$39.87,$40.13,$44.33,$37.50,$62.37,$44.20,$48.64,$48.35,$29.33,,AsiaSat,$128.6,3,$124.3,3,$122.0,4,$115.4,4,129.3,3,$113.5,3,$119.6,3,$120.4,3,$133.0,3,$150.0,4,1.5%,$187.1,3,$221.0,5,$243,5,,15,Hong Kong,AsiaSat
15,Norway,Telenor,$38.0,$13.1,$26.1,$28.30,$17.47,$32.60,$35.50,$35.20,$31.35,$35.42,$43.50,$41.43,$43.85,$52.87,$32.18,,Telenor,$113.9,3,$39.2,3,$78.2,3,$84.9,3,52.4,3,$97.8,3,$106.5,3,$140.8,4,$125.4,4,$177.1,5,1.9%,$174.0,4,$165.7,4,$175,4,,16,Norway,Telenor
16,Thailand,Thiacom/Shin Sat,$32.5,$36.4,$38.5,$48.83,$41.50,$17.20,$24.46,$26.74,$32.05,$35.07,$42.73,$89.40,$119.85,$81.93,$66.75,,Thaicom/Shin Sat,$97.4,3,$109.1,3,$115.5,3,$146.5,3,124.5,3,$86.0,5,$122.3,5,$133.7,5,$128.2,4,$105.2,3,1.2%,$128.2,3,$178.8,2,$240,2,,17,Thailand,Thiacom/Shin Sat
17,Spain,Hispasat,$27.0,$31.6,$24.1,$23.10,$38.37,$19.60,$53.03,$62.87,$64.58,$54.10,$60.05,$48.56,$52.88,$39.61,$35.23,,Hispasat,$81.0,3,$94.9,3,$120.7,5,$115.5,5,115.1,3,$117.6,6,$159.1,3,$188.6,3,$193.7,3,$216.4,4,1.5%,$240.2,4,$242.8,5,$264,5,,18,Spain,Hispasat
,FSS Mean,,$38.8,$43.4,$37.6,$41.7,$40.42,$40.77,$43.69,$47.58,$46.13,$48.57,$49.29,$48.50,$50.84,$42.17,$45.01,,,"$6,011",155,"$6,158",142,"$5,971",159,"$6,512",156,"$6,549",162,"$6,522.9",160,"$7,034.5",161,"$7,993.3",168,"$7,934.8",172,"$8,597.5",177,68.1%,"$8,871.7",180,"$9,408.1",194,"$9,863",194,,,FSS Mean,
,China,China DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$117.4,5,,,,,,$178.0,8,,,,,China,China DBS
18,Australia,SingTel/Optus,,$17.2,$22.8,$30.18,$41.93,$33.00,$39.60,$43.05,$27.30,$47.32,$57.30,$64.40,,$70.25,$40.80,,SingTel/Optus,$73.3,,$85.9,5,$91.0,4,$120.7,4,167.7,4,$165.0,5,$158.4,4,$172.2,4,$163.8,6,$236.6,5,1.9%,$286.5,5,$322.0,5,,,,19,Australia,SingTel/Optus
19,South Korea,Korea Telecom,,$25.4,$34.7,$34.50,$58.40,$57.65,$59.95,$36.70,$28.50,$30.57,$30.57,,,,,,Korea Telecom,$53.5,,$76.3,3,$104.0,3,$103.5,3,116.8,2,$115.3,2,$119.9,2,$110.1,3,$85.5,3,$91.7,3,1.2%,$91.7,3,,,,,,20,South Korea,Korea Telecom
,Japan,BSS Corp Japan,,,$13.4,$18.50,$18.93,$15.63,$15.20,$22.10,$33.03,$22.77,$22.77,,,,,,BSS Corp Japan,,,$61.2,,$66.9,5,$74.0,4,75.7,4,$62.5,4,$60.8,4,$66.3,3,$99.1,3,$68.3,3,1.2%,$68.3,3,,,$209,11,,,Japan,BSS Corp Japan
,Sweden,SES Sirius Nordic Sat NSAB,$25.0,,$22.0,$31.70,$27.20,$22.95,$29.35,$34.70,,,,,,,$19.17,,SES Sirius Nordic Sat NSAB,$75.0,3,$67.6,,$66.0,3,$63.4,2,54.4,2,$45.9,2,$58.7,2,$69.4,2,,,,,,,,,,$205,8,,,Sweden,SES Sirius Nordic Sat NSAB
,Russia,Russian Sat Comm,$5.6,$5.5,$6.2,$2.73,$7.13,$13.05,$13.82,$14.64,$20.74,$17.91,$20.64,$20.82,,$16.07,$26.00,,Russian Sat Com RSCC,$56.0,10,$61.0,11,$62.0,10,$60.0,22,114.0,16,$143.5,11,$152.0,11,$161.0,11,$228.1,11,$197.0,11,4.2%,$227.0,11,$229.0,11,,,,,Russia,Russian Sat Comm
,India,Insat,$20.0,,,,,$5.70,$7.60,$10.91,$13.10,$14.06,$15.50,$20.00,,$20.91,$0.00,,China Satcom/DBS,$80.0,4,,,$55.0,,,,,,$57.0,10,$76.0,10,$120.0,11,$131.0,10,$140.6,10,3.8%,$155.0,10,$160.0,8,$166,4,,,India,Insat
,Egypt,Nilesat,,,,,$27.85,$33.00,$39.90,$45.80,$35.00,$39.67,$32.50,$36.25,,$90.45,$96.00,,Nilesat,,,,,,,,,$55.7,2,$66.0,2,$79.8,2,$91.6,2,$105.0,3,$119.0,3,1.2%,$130.0,4,$145.0,4,$116,4,,,Egypt,Nilesat
,Hong Kong,APT Satellite Holdings,,,$15.0,$12.97,$7.14,$8.68,$10.98,$11.58,$10.42,$24.83,$30.77,$24.38,,$48.93,$32.16,,APT Satellite Holdings,,,$48.0,,$45.1,3,$38.9,3,35.7,5,$43.4,5,$54.9,5,$57.9,5,$52.1,5,$74.5,3,1.2%,$92.3,3,$97.5,4,$81,3,,,Hong Kong,APT Satellite Holdings
,Philippines,Mabuhay Philippines Satellite Corp.,,,$28.5,,,,,,,,,,,$26.18,$26.98,,Sinosat/Gazprom SS,,,$31.1,,$28.5,1,,,,,,,,,,,,,,,,,,,,,,,,Philippines,Mabuhay Philippines Satellite Corp.
,Malaysia,Measat Global Bhd,,,$12.6,$16.70,$17.10,$17.50,$12.97,$18.83,$14.10,$17.03,$18.20,$25.00,,,,,Satelindo/PT Indosat,,,,,$25.1,2,$33.4,2,34.2,2,$35.0,2,$38.9,3,$56.5,3,$56.4,4,$68.1,4,1.5%,$91.0,5,$100.0,4,,,,,Malaysia,Measat Global Bhd
,Indonesia,PT Telkom,,,,,$11.35,$12.20,$16.40,$12.45,$17.55,$25.23,$20.55,$21.35,,,,,Binariang,,,,,,,,,$22.7,2,$24.4,2,$32.8,2,$24.9,2,$35.1,2,$50.5,2,0.8%,$41.1,2,$42.7,2,,,,,Indonesia,PT Telkom
20,Argentina,Nahuelsat,,,$18.7,$17.70,$18.20,,,,,,,,,,,,Mabuhay Philippines Satellite Corp.,,,$10.4,,$18.7,1,$17.7,1,18.2,1,$18.2,,,,,,,,,,,,,,,$115,4,,21,Argentina,Nahuelsat
,Turkey,Eurasiasat/Turksat,,,,,$21.00,$28.55,,,,,,,,$32.50,$22.67,,Measat Global Bhd,,,,,,,$3.0,1,21.0,1,$57.1,2,,,,,,,,,,,,,,$40,2,,,Turkey,Eurasiasat/Turksat
,Russia,Gascom,,,,,,,$15.70,$19.93,$27.90,$23.93,$36.10,$25.17,,$15.70,$27.45,,PT Telkom,,,,,,,,,,,$32.6,,$47.1,3,$59.8,3,$83.7,3,$71.8,3,1.2%,$72.2,2,$75.5,3,$160,8,,,Russia,Gascom
,Israel,Amos/Spacecom,,,,,,,$28.00,$18.67,$35.25,$23.33,$38.65,$27.70,,$21.25,$92.50,,ISRO/Antrix,,,,,,,,,,,$56,2,$56.0,2,$56.0,3,$70.5,2,$70.0,3,1.2%,$77.3,2,$83.1,3,$86,3,,,Israel,Amos/Spacecom
,USA,Echostar ,,,,,,,,,$5.55,$8.80,$10.67,$8.00,,$24.68,$27.50,,Amos/SpaceCom,,,,,,,,,,,,,,,$2.9,,$44.4,8,$52.8,6,2.3%,$64.0,6,$80.0,10,$89,10,,,USA,Echostar 
,United Kingdom,EuropeStar Ltd,,,,,$10.00,,,,,,,,,$5.53,,,Echostar,,,,,,,$20.8,2,20.0,2,$20.0,,,,,,,,,,,,,,,,,,,United Kingdom,EuropeStar Ltd
,Others,,,,,,,,,,,,,,,,,,Nahuelsat,,,,,,,,,,,,,,,,,,,,27,10.4%,,27,$184.4,5,$80,0,,,Others,
,FSS Subtotal,,$29.8,$34.7,$34.2,$35.24,$35.54,$35.72,$37.77,$41.10,$38.85,$37.84,$39.04,$25.33,,,,,Intersputnik,"$6,349.0",213,"$6,599.0",190,"$6,533.6",191,"$7,047.4",200,"$7,284.9",205,"$7,464.8",209,"$7,969.8",211,"$9,041.9",220,"$9,206.9",237,"$9,838.4",260,100.0%,"$10,268.1",263,"$1,697.2",67,$108,4,,,FSS Subtotal,
,,,,,,,,,,,,,,,,$23.00,,,Asia Broadcast Sat,,,,,,,,,,,,,$1,,,,,,,,,,,,,$30,1,,,,
,,,,,,,,,,,,,,,,$7.83,,,Avanti,,,,,,,,,,,,,,,,,,,,,,,,$80.0,0,"$11,689",261,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$90.0,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$14.4,1,,,,,,
